date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
02/06/26,30,away,3441,3864,1:1,,FS,played,0,0,0,02/06/26 | FS | club:3441 | opponent:3864 | 1:1 | played | 14',False,False,True,14.0,False,abdul_mumin__gha,Abdul Mumin,GHA,DEF,451801,https://www.transfermarkt.de/abdul-mumin/nationalmannschaft/spieler/451801/verein_id/3441
23/05/26,28,away,3441,6303,0:2,,FS,not in squad,0,0,0,23/05/26 | FS | club:3441 | opponent:6303 | 0:2 | not in squad,True,False,False,,False,abdul_mumin__gha,Abdul Mumin,GHA,DEF,451801,https://www.transfermarkt.de/abdul-mumin/nationalmannschaft/spieler/451801/verein_id/3441
30/03/26,2,away,3441,3262,1:2,,FS,not in squad,0,0,0,30/03/26 | FS | club:3441 | opponent:3262 | 1:2 | not in squad,True,False,False,,False,abdul_mumin__gha,Abdul Mumin,GHA,DEF,451801,https://www.transfermarkt.de/abdul-mumin/nationalmannschaft/spieler/451801/verein_id/3441
27/03/26,46,away,3441,3383,1:5,,FS,not in squad,0,0,0,27/03/26 | FS | club:3441 | opponent:3383 | 1:5 | not in squad,True,False,False,,False,abdul_mumin__gha,Abdul Mumin,GHA,DEF,451801,https://www.transfermarkt.de/abdul-mumin/nationalmannschaft/spieler/451801/verein_id/3441
18/11/25,6,away,3441,3589,0:1,,FS,injured,0,0,0,18/11/25 | FS | club:3441 | opponent:3589 | 0:1 | injured,True,False,False,,False,abdul_mumin__gha,Abdul Mumin,GHA,DEF,451801,https://www.transfermarkt.de/abdul-mumin/nationalmannschaft/spieler/451801/verein_id/3441
14/11/25,5,away,3441,3435,0:2,,FS,injured,0,0,0,14/11/25 | FS | club:3441 | opponent:3435 | 0:2 | injured,True,False,False,,False,abdul_mumin__gha,Abdul Mumin,GHA,DEF,451801,https://www.transfermarkt.de/abdul-mumin/nationalmannschaft/spieler/451801/verein_id/3441
12/10/25,10,home,3441,16430,1:0,,WMQ2,injured,0,0,0,12/10/25 | WMQ2 | club:3441 | opponent:16430 | 1:0 | injured,True,False,False,,False,abdul_mumin__gha,Abdul Mumin,GHA,DEF,451801,https://www.transfermarkt.de/abdul-mumin/nationalmannschaft/spieler/451801/verein_id/3441
08/10/25,9,away,3441,12933,5:0,,WMQ2,injured,0,0,0,08/10/25 | WMQ2 | club:3441 | opponent:12933 | 5:0 | injured,True,False,False,,False,abdul_mumin__gha,Abdul Mumin,GHA,DEF,451801,https://www.transfermarkt.de/abdul-mumin/nationalmannschaft/spieler/451801/verein_id/3441
08/09/25,8,home,3441,3674,1:0,,WMQ2,injured,0,0,0,08/09/25 | WMQ2 | club:3441 | opponent:3674 | 1:0 | injured,True,False,False,,False,abdul_mumin__gha,Abdul Mumin,GHA,DEF,451801,https://www.transfermarkt.de/abdul-mumin/nationalmannschaft/spieler/451801/verein_id/3441
04/09/25,7,away,3441,13978,1:1,,WMQ2,injured,0,0,0,04/09/25 | WMQ2 | club:3441 | opponent:13978 | 1:1 | injured,True,False,False,,False,abdul_mumin__gha,Abdul Mumin,GHA,DEF,451801,https://www.transfermarkt.de/abdul-mumin/nationalmannschaft/spieler/451801/verein_id/3441
31/05/25,45,away,3441,7149,4:0,,FS,injured,0,0,0,31/05/25 | FS | club:3441 | opponent:7149 | 4:0 | injured,True,False,False,,False,abdul_mumin__gha,Abdul Mumin,GHA,DEF,451801,https://www.transfermarkt.de/abdul-mumin/nationalmannschaft/spieler/451801/verein_id/3441
28/05/25,52,away,3441,3444,1:2,,FS,injured,0,0,0,28/05/25 | FS | club:3441 | opponent:3444 | 1:2 | injured,True,False,False,,False,abdul_mumin__gha,Abdul Mumin,GHA,DEF,451801,https://www.transfermarkt.de/abdul-mumin/nationalmannschaft/spieler/451801/verein_id/3441
24/03/25,6,away,3441,14635,3:0,,WMQ2,injured,0,0,0,24/03/25 | WMQ2 | club:3441 | opponent:14635 | 3:0 | injured,True,False,False,,False,abdul_mumin__gha,Abdul Mumin,GHA,DEF,451801,https://www.transfermarkt.de/abdul-mumin/nationalmannschaft/spieler/451801/verein_id/3441
21/03/25,5,home,3441,13978,5:0,,WMQ2,injured,0,0,0,21/03/25 | WMQ2 | club:3441 | opponent:13978 | 5:0 | injured,True,False,False,,False,abdul_mumin__gha,Abdul Mumin,GHA,DEF,451801,https://www.transfermarkt.de/abdul-mumin/nationalmannschaft/spieler/451801/verein_id/3441
18/11/24,8,home,3441,14163,1:2,,AFCQ,not in squad,0,0,0,18/11/24 | AFCQ | club:3441 | opponent:14163 | 1:2 | not in squad,True,False,False,,False,abdul_mumin__gha,Abdul Mumin,GHA,DEF,451801,https://www.transfermarkt.de/abdul-mumin/nationalmannschaft/spieler/451801/verein_id/3441
15/11/24,7,away,3441,3585,1:1,,AFCQ,not in squad,0,0,0,15/11/24 | AFCQ | club:3441 | opponent:3585 | 1:1 | not in squad,True,False,False,,False,abdul_mumin__gha,Abdul Mumin,GHA,DEF,451801,https://www.transfermarkt.de/abdul-mumin/nationalmannschaft/spieler/451801/verein_id/3441
15/10/24,6,away,3441,13313,0:2,,AFCQ,not in squad,0,0,0,15/10/24 | AFCQ | club:3441 | opponent:13313 | 0:2 | not in squad,True,False,False,,False,abdul_mumin__gha,Abdul Mumin,GHA,DEF,451801,https://www.transfermarkt.de/abdul-mumin/nationalmannschaft/spieler/451801/verein_id/3441
